metro_code,metro_name,metro_pop,metro_type,variable_name,applications,loans,denials,results_def,odds_ratio,odds_ratio_rd,number_denials_compared_to_10_white,white_loans,white_denials,white_apps
35084,"Newark, NJ-PA",2164575,Metropolitan Division,Black,1011,838,173,Statistcially significant disparity,1.860004433,1.9,19,8635,494,9129
35084,"Newark, NJ-PA",2164575,Metropolitan Division,Latino,1840,1608,232,Doesn't meet level of disparity,1.428480265,1.4,14,8635,494,9129
35084,"Newark, NJ-PA",2164575,Metropolitan Division,Native American,23,22,1,Not statistcially significant,0.627483523,0.6,6,8635,494,9129
35084,"Newark, NJ-PA",2164575,Metropolitan Division,AAPI,1627,1483,144,Statistcially significant disparity,1.644145893,1.6,16,8635,494,9129
35614,"New York-Jersey City-White Plains, NY-NJ",11915488,Metropolitan Division,Black,2677,2239,438,Statistcially significant disparity,1.567522409,1.6,16,20991,1903,22894
35614,"New York-Jersey City-White Plains, NY-NJ",11915488,Metropolitan Division,Latino,5546,4818,728,Doesn't meet level of disparity,1.295846574,1.3,13,20991,1903,22894
35614,"New York-Jersey City-White Plains, NY-NJ",11915488,Metropolitan Division,Native American,69,51,18,Not enough of applications,3.003200199,3,30,20991,1903,22894
35614,"New York-Jersey City-White Plains, NY-NJ",11915488,Metropolitan Division,AAPI,10828,9655,1173,Doesn't meet level of disparity,1.189051941,1.2,12,20991,1903,22894
35154,"New Brunswick-Lakewood, NJ",2373832,Metropolitan Division,Black,636,548,88,Statistcially significant disparity,1.889602469,1.9,19,11938,857,12795
35154,"New Brunswick-Lakewood, NJ",2373832,Metropolitan Division,Latino,1632,1453,179,Statistcially significant disparity,1.512586915,1.5,15,11938,857,12795
35154,"New Brunswick-Lakewood, NJ",2373832,Metropolitan Division,Native American,33,28,5,Not statistcially significant,1.871450398,1.9,19,11938,857,12795
35154,"New Brunswick-Lakewood, NJ",2373832,Metropolitan Division,AAPI,3504,3199,305,Doesn't meet level of disparity,1.258276071,1.3,13,11938,857,12795
39100,"Poughkeepsie-Newburgh-Middletown, NY",673839,Metropolitan Statistical Area,Black,329,299,30,Not statistcially significant,1.079957227,1.1,11,2632,156,2788
39100,"Poughkeepsie-Newburgh-Middletown, NY",673839,Metropolitan Statistical Area,Latino,608,529,79,Statistcially significant disparity,1.938728824,1.9,19,2632,156,2788
39100,"Poughkeepsie-Newburgh-Middletown, NY",673839,Metropolitan Statistical Area,Native American,9,6,3,Not statistcially significant,4.737493148,4.7,47,2632,156,2788
39100,"Poughkeepsie-Newburgh-Middletown, NY",673839,Metropolitan Statistical Area,AAPI,188,161,27,Statistcially significant disparity,2.477167783,2.5,25,2632,156,2788
45940,"Trenton-Princeton, NJ",367922,Metropolitan Statistical Area,Black,154,138,16,Regression equation needs to be tweaked,1.324394995,1.3,13,1179,76,1255
45940,"Trenton-Princeton, NJ",367922,Metropolitan Statistical Area,Latino,258,219,39,Regression equation needs to be tweaked,1.626405503,1.6,16,1179,76,1255
45940,"Trenton-Princeton, NJ",367922,Metropolitan Statistical Area,Native American,4,4,0,Regression equation needs to be tweaked,6.79E-09,0,0,1179,76,1255
45940,"Trenton-Princeton, NJ",367922,Metropolitan Statistical Area,AAPI,608,560,48,Regression equation needs to be tweaked,1.20816554,1.2,12,1179,76,1255
20700,"East Stroudsburg, PA",168032,Metropolitan Statistical Area,Black,87,74,13,No meaningful results,,,,555,55,610
20700,"East Stroudsburg, PA",168032,Metropolitan Statistical Area,Latino,120,104,16,No meaningful results,,,,555,55,610
20700,"East Stroudsburg, PA",168032,Metropolitan Statistical Area,Native American,4,4,0,No meaningful results,,,,555,55,610
20700,"East Stroudsburg, PA",168032,Metropolitan Statistical Area,AAPI,31,27,4,No meaningful results,,,,555,55,610
48424,"West Palm Beach-Boca Raton-Boynton Beach, FL",1465027,Metropolitan Division,Black,1071,885,186,Statistcially significant disparity,1.512250314,1.5,15,7132,809,7941
48424,"West Palm Beach-Boca Raton-Boynton Beach, FL",1465027,Metropolitan Division,Latino,2300,2005,295,Not statistcially significant,1.064816385,1.1,11,7132,809,7941
48424,"West Palm Beach-Boca Raton-Boynton Beach, FL",1465027,Metropolitan Division,Native American,39,35,4,Not statistcially significant,1.010304388,1,10,7132,809,7941
48424,"West Palm Beach-Boca Raton-Boynton Beach, FL",1465027,Metropolitan Division,AAPI,546,468,78,Not statistcially significant,1.276821895,1.3,13,7132,809,7941
33124,"Miami-Miami Beach-Kendall, FL",2699428,Metropolitan Division,Black,618,479,139,Not statistcially significant,1.152675438,1.2,12,2286,437,2723
